Admission grade,Previous qualification (grade),Previous qualification,Mother's qualification,Father's qualification,Displaced,Marital status,Nacionality,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date
132.5,152.0,1,19,19,0,1,1,8,7,14.54,1
100.0,133.1,1,37,37,0,2,1,12,11,13.0,1
120.7,134.0,1,1,38,0,1,1,6,3,10.666666666666666,0
114.0,121.0,1,37,38,0,1,1,5,5,12.2,1
122.0,129.0,1,37,37,1,1,1,0,0,0.0,0
104.8,100.0,39,1,38,0,1,1,7,5,11.6,0
161.2,164.0,1,19,1,0,1,1,6,6,15.571428571428571,1
140.9,136.0,1,37,37,1,1,1,6,4,12.0,1
120.0,129.0,1,19,37,1,1,1,8,7,13.151428571428571,1
160.0,140.0,3,37,38,0,5,1,8,7,15.94285714285714,1
97.0,160.0,1,37,37,0,4,1,6,6,11.333333333333334,1
120.5,134.0,1,1,37,1,1,1,7,7,11.716666666666663,1
128.4,134.0,1,14,11,1,1,1,5,0,0.0,0
129.3,149.0,1,1,1,1,1,1,8,7,13.1,1
140.0,140.0,39,1,19,0,1,1,6,6,13.142857142857142,1
116.5,133.1,1,37,37,0,2,1,7,1,10.0,1
145.8,133.1,1,1,19,0,1,1,6,5,13.333333333333334,1
131.6,148.0,1,38,38,0,1,1,6,6,15.5,1
118.0,133.1,9,34,34,0,1,1,6,0,0.0,1
123.2,133.0,1,19,3,1,1,1,5,4,11.0,1
132.1,151.0,1,38,37,1,2,1,5,2,10.0,1
113.4,120.0,1,1,37,1,1,1,5,0,0.0,1
131.5,150.0,1,37,38,1,1,1,8,7,12.657142857142857,1
122.1,128.0,1,19,1,1,1,1,6,4,12.5,1
136.3,141.0,1,37,37,1,1,1,7,6,13.516666666666666,1
108.3,110.0,39,37,37,0,1,1,9,4,11.25,0
128.0,120.0,1,37,37,0,1,1,2,0,0.0,1
105.8,110.0,1,19,19,1,1,1,7,6,14.333333333333334,1
127.5,145.0,1,1,1,1,1,1,8,8,13.11,1
126.2,133.0,1,3,3,1,1,1,7,7,13.761111111111113,1
111.9,121.0,1,3,19,1,1,1,11,11,11.727272727272728,1
98.5,133.1,19,37,37,0,2,1,6,6,11.333333333333334,1
131.9,141.0,1,37,37,0,1,1,10,6,11.5,1
120.0,114.0,1,38,38,0,1,1,6,6,12.571428571428571,1
117.8,124.0,1,37,37,0,1,1,8,7,12.791428571428572,1
116.5,121.0,1,1,19,1,1,1,6,0,0.0,0
100.0,133.1,1,41,1,0,1,41,7,6,13.0,0
133.2,130.0,1,19,12,1,1,1,6,6,14.166666666666666,1
128.5,133.0,1,19,37,1,1,1,8,8,14.07125,1
128.8,130.0,42,38,38,0,1,1,10,8,12.875,1
131.4,137.0,1,1,1,1,1,1,6,5,11.8,1
137.0,133.1,1,19,37,1,1,1,6,0,0.0,1
146.6,133.1,38,37,37,0,2,1,7,7,12.828571428571427,1
113.7,120.0,1,1,14,1,1,1,5,4,11.4,1
116.7,123.0,1,3,1,0,1,1,5,5,13.4,1
98.1,97.0,1,1,19,1,1,1,7,7,12.835714285714284,1
122.1,134.0,1,19,38,1,1,1,6,6,11.666666666666666,1
108.2,120.0,1,3,1,1,1,1,10,4,11.25,1
119.1,124.0,1,19,37,0,1,1,5,4,11.0,1
121.5,125.0,1,1,1,1,1,1,6,6,13.833333333333334,1
110.0,133.1,19,37,37,0,2,1,5,0,0.0,0
128.8,122.0,1,38,38,1,1,1,12,5,13.2,1
128.9,141.0,1,1,38,1,1,1,6,6,13.833333333333334,1
128.8,129.0,1,37,37,1,1,1,7,6,12.666666666666666,1
150.0,150.0,39,38,38,1,1,1,6,6,13.8,1
119.4,126.0,1,38,19,1,1,1,6,6,14.0,1
120.8,137.0,1,19,19,1,1,1,8,7,14.654285714285717,1
120.0,130.0,1,37,37,1,2,1,6,5,12.4,1
100.0,133.1,1,19,19,0,1,1,5,4,10.75,1
166.6,170.0,1,1,1,0,1,1,5,5,14.4,0
139.8,141.0,1,19,19,0,1,1,8,7,14.4,1
120.6,122.0,1,37,37,1,1,1,5,5,12.8,1
121.5,125.0,1,19,19,1,1,1,6,6,10.857142857142858,1
138.2,140.0,42,19,38,0,1,1,10,8,13.75,0
131.1,150.0,1,19,11,1,1,1,6,6,11.666666666666666,1
115.8,127.0,1,37,38,1,1,1,5,5,13.4,1
120.4,127.0,1,1,1,1,1,1,6,6,15.125,1
120.4,140.0,1,19,19,0,1,1,15,14,10.214285714285714,0
160.0,120.0,1,19,37,0,1,1,5,5,11.0,1
127.5,138.0,1,1,3,1,1,1,5,5,14.6,1
140.0,148.0,1,19,1,1,1,1,6,6,13.666666666666666,1
121.3,120.0,3,19,37,0,1,1,11,11,13.454545454545457,1
107.5,133.1,9,34,36,0,1,1,5,0,0.0,1
125.7,133.0,1,2,37,1,1,1,6,6,13.5,1
119.4,126.0,1,19,37,0,1,1,6,5,13.8,1
136.7,143.0,1,5,1,0,1,1,7,7,12.67,1
102.8,107.0,1,12,19,1,1,1,6,1,10.0,1
119.1,132.0,1,19,1,0,1,1,6,3,12.666666666666666,1
160.0,160.0,39,1,1,0,1,1,5,3,12.333333333333334,1
131.1,140.0,1,1,1,1,1,1,7,7,13.19,1
113.0,121.0,1,38,37,1,1,1,5,4,10.714285714285714,1
125.0,125.0,1,37,38,1,1,1,6,5,10.6,0
130.0,130.0,39,37,37,0,1,1,6,3,12.75,0
118.9,122.0,1,1,38,0,1,1,5,2,10.5,1
110.0,133.1,1,37,37,0,5,1,6,5,13.0,0
105.0,133.1,1,3,19,1,1,1,6,6,13.833333333333334,1
126.0,130.0,3,1,1,0,2,1,7,7,13.62857142857143,1
114.6,123.0,1,19,19,0,1,1,5,4,11.0,1
150.0,150.0,42,1,1,1,1,1,7,5,12.166666666666666,1
130.1,135.0,1,1,19,1,1,1,5,4,10.75,1
118.0,123.0,1,37,37,1,1,1,8,7,11.82,1
150.9,157.0,1,3,2,1,1,1,6,6,15.0,1
126.9,122.0,1,1,1,0,1,1,6,6,11.714285714285714,1
136.2,133.0,1,1,1,1,1,1,5,5,12.4,1
126.1,132.0,1,37,37,0,1,1,7,6,12.333333333333334,1
101.6,133.1,1,37,37,0,1,1,5,0,0.0,1
116.5,127.0,1,1,1,1,1,1,6,0,0.0,1
130.0,130.0,39,19,1,0,1,1,7,7,13.0,1
115.8,127.0,1,1,19,1,1,1,6,6,12.571428571428571,1
100.0,140.0,1,34,34,0,1,1,5,4,12.5,1
138.0,130.0,1,37,37,0,4,1,6,5,11.2,1
130.8,136.0,1,1,38,1,1,1,5,5,14.4,1
116.1,115.0,1,3,1,1,1,1,5,5,12.5,0
116.7,123.0,1,1,38,0,1,1,6,6,12.166666666666666,1
113.2,123.0,1,19,37,0,2,1,6,3,10.666666666666666,0
143.4,130.0,3,1,38,0,1,1,3,0,0.0,1
150.0,120.0,1,37,37,0,2,1,5,5,13.5,1
117.8,118.0,1,19,19,0,1,1,7,7,13.7,1
141.8,132.0,1,19,1,1,1,1,6,6,11.833333333333334,1
118.8,131.0,1,3,19,0,1,1,5,5,13.4,1
117.8,129.0,1,38,19,1,1,1,6,6,12.0,1
123.8,136.0,1,1,1,0,1,1,7,6,11.614285714285714,1
136.5,126.0,1,37,37,1,1,1,5,3,12.0,1
117.1,122.0,1,19,38,1,1,1,7,7,14.572857142857142,1
116.5,128.0,1,19,19,0,1,1,6,5,10.8,1
119.0,129.0,1,38,37,1,1,1,8,7,12.342857142857143,1
120.3,122.0,1,1,1,0,1,1,0,0,0.0,1
122.3,130.0,1,1,19,0,2,1,7,6,14.35,1
114.0,120.0,1,11,11,1,1,1,5,3,11.666666666666666,1
116.5,121.0,1,37,37,1,1,1,5,3,11.333333333333334,1
126.7,141.0,1,37,37,1,1,1,6,6,13.333333333333334,1
107.5,133.1,38,1,1,0,1,1,6,0,0.0,0
95.0,133.1,1,37,37,1,1,1,7,6,13.755,1
128.8,133.0,1,38,19,1,1,1,7,7,11.8375,1
150.0,140.0,2,38,38,0,1,1,6,0,0.0,1
136.9,139.0,1,19,3,1,1,1,0,0,0.0,1
129.8,135.0,1,1,1,0,1,1,6,6,12.666666666666666,1
132.0,133.1,1,37,37,0,2,1,6,4,11.75,1
162.3,130.0,1,19,38,0,2,1,6,3,11.333333333333334,1
110.7,133.1,12,37,34,1,2,1,5,0,0.0,1
121.3,130.0,1,19,19,1,1,1,6,5,12.0,1
140.0,130.0,1,19,37,0,2,1,5,3,11.666666666666666,1
128.0,142.0,1,1,19,0,1,1,6,6,14.0,1
118.0,118.0,1,1,19,0,1,1,6,5,11.0,1
116.0,124.0,1,38,19,0,1,1,6,6,15.5,1
121.7,136.0,1,19,38,0,1,1,6,6,11.875,1
134.0,120.0,3,19,1,0,1,1,5,1,11.0,1
121.8,127.0,1,2,19,0,1,1,5,5,12.6,1
139.0,133.1,19,37,37,0,1,1,6,0,0.0,0
160.0,160.0,42,19,37,1,1,1,11,11,13.785714285714286,1
97.4,133.1,1,37,37,0,1,1,6,1,14.0,0
142.3,120.0,1,1,19,1,1,1,6,6,13.333333333333334,1
133.0,142.0,1,37,19,1,1,1,8,8,14.11,1
136.1,142.0,1,34,1,1,1,1,4,0,0.0,0
120.4,127.0,1,1,38,1,1,1,6,6,13.5,1
105.2,108.0,1,38,38,1,1,1,17,13,11.538461538461538,1
121.5,126.0,1,30,19,1,1,1,6,6,11.333333333333334,1
126.2,137.0,1,37,37,1,1,1,6,6,13.0,1
117.1,129.0,1,37,37,1,1,1,7,7,14.692857142857145,1
121.2,132.0,1,37,19,0,1,1,6,5,12.2,1
113.2,123.0,1,19,19,1,1,1,6,6,12.166666666666666,1
113.3,115.0,1,19,37,1,1,1,5,0,0.0,1
130.2,148.0,1,1,19,1,1,1,7,0,0.0,1
126.7,126.0,1,1,1,1,1,1,6,6,14.166666666666666,1
120.0,129.0,1,38,37,1,1,1,8,7,12.454285714285716,1
118.8,130.0,1,3,3,0,1,1,7,7,13.677142857142858,1
159.5,170.0,42,19,38,0,2,1,6,0,0.0,1
129.3,124.0,1,34,34,0,1,1,6,6,11.5,1
153.5,158.0,1,19,39,1,1,1,6,6,14.833333333333334,1
156.3,143.0,1,19,37,1,1,1,0,0,0.0,1
140.0,140.0,5,19,1,1,1,1,7,0,0.0,0
107.0,150.0,1,34,34,1,1,1,5,0,0.0,1
118.5,115.0,1,38,1,0,1,1,5,1,10.0,1
117.5,122.0,1,19,19,1,1,1,6,5,10.8,1
117.8,118.0,1,38,38,1,1,1,7,6,12.4,1
123.4,130.0,1,38,37,1,1,1,5,4,11.75,1
126.3,141.0,1,1,1,1,1,1,8,7,13.328571428571427,1
130.0,130.0,3,37,37,1,1,1,8,0,0.0,1
116.9,126.0,1,38,38,1,1,1,5,4,14.5,1
119.7,133.0,1,37,37,1,1,1,5,5,13.25,1
154.3,133.1,1,1,19,0,4,1,7,0,0.0,1
137.9,141.0,1,19,3,1,1,1,5,3,12.0,0
128.5,133.0,1,1,1,1,1,1,7,7,14.868571428571428,1
135.3,143.0,1,19,19,1,1,1,8,8,13.27625,1
133.1,138.0,1,38,37,0,1,1,6,6,14.0,1
124.6,130.0,1,2,39,0,1,1,21,21,12.476190476190476,1
130.2,133.0,1,37,38,1,1,1,7,7,13.7,1
134.0,135.0,1,19,37,1,1,1,6,5,10.8,1
142.7,150.0,1,1,1,0,1,1,6,4,11.0,1
101.3,133.1,1,3,3,0,1,41,6,6,13.0,1
108.5,133.1,1,19,19,1,1,1,7,7,12.60625,1
120.0,133.1,19,38,1,0,4,1,8,8,13.63,1
128.0,135.0,1,37,38,1,1,1,5,5,12.8,1
170.0,140.0,1,2,1,0,4,1,6,3,14.333333333333334,0
105.0,133.1,1,38,38,1,1,1,6,6,13.285714285714286,1
104.5,101.0,1,38,38,1,1,1,7,5,13.336000000000002,1
120.0,133.1,1,1,1,1,1,1,5,0,0.0,0
148.0,148.0,1,3,1,1,1,1,12,10,14.7,1
161.8,160.0,1,34,34,1,1,1,5,2,10.5,1
111.4,118.0,1,19,37,1,1,1,7,0,0.0,0
124.0,125.0,1,37,37,0,1,1,6,6,14.857142857142858,1
121.5,125.0,1,37,37,1,1,1,6,4,14.75,1
120.3,128.0,1,19,19,1,1,1,6,2,13.0,1
116.1,122.0,1,19,19,1,1,1,5,5,11.2,1
144.9,154.0,1,1,1,0,1,1,7,7,15.957142857142856,1
133.9,110.0,1,37,37,0,1,1,5,5,11.4,1
127.8,128.0,1,3,1,0,1,1,7,7,14.4125,1
141.0,120.0,3,37,37,0,1,1,15,11,11.454545454545457,1
160.0,160.0,1,37,37,0,2,1,4,0,0.0,0
150.0,150.0,39,3,3,1,1,1,6,6,14.428571428571429,1
121.5,125.0,1,19,38,0,1,1,6,6,12.0,1
126.7,140.0,1,38,38,1,1,1,6,5,12.4,1
133.0,148.0,1,19,38,0,1,1,5,5,13.285714285714286,1
112.4,111.0,1,1,1,1,1,1,6,6,12.333333333333334,1
130.9,141.0,1,3,19,1,1,1,6,6,13.5,1
117.0,110.0,1,3,2,1,1,1,0,0,0.0,1
123.7,123.0,1,1,3,1,1,1,6,5,13.2,0
169.2,133.1,1,3,3,0,1,6,7,0,0.0,0
110.0,133.1,1,1,1,1,1,1,0,0,0.0,1
126.6,122.0,1,38,19,1,1,1,6,6,12.833333333333334,1
124.8,137.0,1,1,1,1,1,1,7,6,12.4125,1
157.7,178.0,1,2,1,0,1,1,6,2,13.5,1
115.6,110.0,1,3,3,1,1,1,6,6,11.875,1
131.8,130.0,1,19,19,0,1,1,7,7,12.571428571428571,1
120.8,129.0,1,38,38,1,1,1,8,7,12.744285714285716,1
130.5,144.0,1,19,19,1,1,1,8,7,11.971428571428572,1
129.1,130.0,1,1,19,1,1,1,7,7,13.044444444444444,1
123.7,130.0,1,37,37,1,1,1,6,6,12.333333333333334,1
158.1,149.0,1,19,37,1,1,1,0,0,0.0,1
111.0,112.0,1,3,1,0,1,1,6,5,13.2,1
112.3,120.0,1,19,38,0,1,1,6,5,10.714285714285714,1
124.8,138.0,1,19,19,1,1,1,8,7,13.414285714285716,1
130.0,130.0,3,37,19,0,2,1,6,4,13.75,1
146.2,120.0,1,38,38,0,1,1,5,3,12.333333333333334,1
118.1,130.0,1,19,1,1,1,1,5,1,10.0,0
162.0,162.0,1,2,1,0,1,1,6,6,15.0,1
144.1,170.0,1,1,4,1,1,1,6,0,0.0,0
101.0,133.1,19,19,19,1,2,1,6,3,12.666666666666666,1
132.8,150.0,1,19,19,1,1,1,8,8,13.01125,1
122.9,133.1,1,38,19,0,1,1,6,3,14.0,0
134.6,143.0,1,1,1,1,1,1,6,6,14.5,1
130.4,137.0,1,1,38,1,1,1,0,0,0.0,1
107.5,110.0,1,19,1,1,1,1,6,4,12.25,1
143.5,148.0,1,1,19,0,1,1,6,5,15.0,1
122.5,126.0,1,19,1,1,1,1,5,4,13.5,0
118.2,128.0,1,19,38,0,1,1,5,0,0.0,1
129.9,126.0,1,38,38,1,1,1,6,6,13.666666666666666,1
114.9,125.0,1,19,19,0,1,1,7,6,13.133333333333333,1
150.0,150.0,39,2,1,1,1,1,18,12,12.857142857142858,1
137.3,142.0,1,37,38,1,1,1,7,6,13.9,1
118.3,120.0,1,38,1,1,1,1,5,5,12.333333333333334,1
160.0,160.0,39,37,37,1,1,1,6,6,14.166666666666666,1
127.0,138.0,1,19,19,0,4,1,4,0,0.0,0
129.8,135.0,1,19,19,1,1,1,7,7,13.175,1
139.9,142.0,1,19,19,0,1,1,6,6,13.428571428571429,1
130.0,145.0,1,37,19,1,1,1,0,0,0.0,1
125.2,129.0,1,34,34,0,1,1,16,16,13.0,1
150.2,160.0,1,3,1,1,1,1,5,1,13.0,1
101.0,133.1,1,19,1,0,1,1,6,0,0.0,1
130.0,130.0,40,34,34,0,4,1,6,0,0.0,1
117.9,120.0,1,19,38,1,1,1,6,5,13.0,1
130.5,139.0,1,38,38,1,1,1,8,7,14.992857142857142,1
134.1,146.0,1,38,38,1,1,1,6,6,12.5,1
116.1,115.0,1,37,37,1,1,1,6,6,13.857142857142858,1
125.0,119.0,1,37,38,1,1,1,6,5,12.0,1
126.1,131.0,1,37,1,1,1,2,6,6,13.666666666666666,1
104.5,133.1,1,19,19,1,1,1,2,2,12.5,1
127.8,151.0,1,1,1,0,1,1,8,7,13.671428571428573,1
116.7,120.0,1,1,19,0,1,1,5,3,12.333333333333334,1
156.5,133.1,19,37,19,0,2,1,11,2,15.0,1
158.0,130.0,1,37,37,0,2,1,6,4,13.5,0
110.0,110.0,2,19,38,0,1,1,12,11,14.454545454545457,1
122.8,135.0,1,1,1,0,1,1,6,6,14.0,1
120.7,127.0,1,19,37,1,1,1,6,5,13.2,1
128.2,140.0,1,19,1,0,1,1,6,0,0.0,0
144.3,160.0,1,1,38,1,1,1,6,4,13.0,1
116.5,128.0,1,19,37,0,1,1,6,5,11.142857142857142,1
131.0,140.0,1,1,1,1,1,1,8,8,13.88125,1
123.8,136.0,1,37,37,1,1,1,0,0,0.0,1
126.3,133.1,19,37,37,0,2,1,6,0,0.0,0
140.9,150.0,1,19,38,0,1,1,5,3,10.666666666666666,1
116.0,116.0,1,19,38,1,1,1,6,6,12.714285714285714,1
130.3,136.0,1,19,38,1,1,1,7,6,12.6,1
116.1,121.0,1,19,19,0,1,1,6,6,13.166666666666666,1
128.9,135.0,1,19,1,1,1,1,7,6,12.648333333333332,1
140.0,133.1,1,37,37,0,4,1,6,0,0.0,1
128.2,133.1,1,37,37,0,1,1,5,0,0.0,1
121.7,128.0,1,19,1,1,1,1,6,6,12.666666666666666,1
135.7,128.0,1,19,1,1,1,1,5,4,12.75,1
128.0,130.0,1,1,37,1,1,1,7,7,13.585714285714284,1
132.9,142.0,1,19,19,0,1,1,5,4,12.5,1
111.9,121.0,1,5,3,1,1,1,5,0,0.0,1
120.2,127.0,1,1,19,1,1,1,7,7,12.765714285714289,1
134.3,147.0,1,1,1,1,1,1,8,7,14.2,1
124.5,135.0,1,19,19,0,1,1,6,5,11.142857142857142,1
138.0,153.0,1,37,37,1,1,1,6,6,13.5,1
140.2,130.0,1,37,19,1,1,1,5,0,0.0,1
122.5,130.0,1,19,38,0,1,1,5,4,12.0,1
140.0,140.0,39,19,38,0,1,1,6,3,13.25,1
116.0,133.1,19,37,37,0,1,1,7,6,10.983333333333334,1
140.0,140.0,39,1,19,1,1,1,6,6,13.0,1
110.0,133.1,1,1,37,0,1,1,6,3,14.4,1
108.0,133.1,1,37,37,0,1,1,7,7,12.457142857142856,1
141.3,144.0,1,19,38,1,1,1,8,8,13.31,1
128.3,130.0,42,1,19,0,1,1,9,7,13.571428571428571,0
137.2,154.0,1,3,3,1,1,1,6,5,13.625,1
116.9,127.0,1,3,19,0,1,1,6,5,11.0,1
160.0,160.0,39,37,37,0,1,1,10,3,11.666666666666666,1
131.9,141.0,1,19,19,1,1,1,7,7,13.56875,1
131.6,140.0,1,3,3,1,1,1,7,0,0.0,1
130.0,130.0,3,2,2,0,1,1,8,7,14.257142857142856,1
140.1,145.0,1,1,1,1,1,1,12,12,13.25,1
155.7,120.0,12,37,38,0,1,1,5,5,13.2,1
126.3,139.0,1,38,37,1,1,1,8,8,13.435,1
115.5,120.0,1,3,19,1,1,1,6,5,13.0,1
153.0,167.0,1,38,38,1,1,1,6,1,11.0,1
127.3,122.0,1,1,19,1,1,1,6,6,12.166666666666666,1
130.0,130.0,3,3,19,0,4,1,7,3,13.833333333333334,1
131.7,138.0,1,1,19,1,1,1,6,6,12.833333333333334,1
95.0,133.1,19,37,37,0,4,1,6,0,0.0,0
121.9,132.0,1,3,1,1,1,1,6,6,14.5,1
160.0,160.0,1,37,37,0,2,1,5,5,11.6,1
134.5,133.1,19,37,37,0,4,1,6,5,12.2,1
111.3,100.0,19,38,19,0,2,1,6,6,13.333333333333334,0
110.0,100.0,1,37,37,0,2,1,5,5,11.4,1
105.0,140.0,1,37,37,1,1,1,7,6,12.35,1
139.2,135.0,1,38,37,0,1,1,6,6,13.0,1
128.3,140.0,1,1,1,1,1,1,8,7,12.764285714285714,1
129.9,140.0,1,37,38,0,1,1,5,4,13.6,1
120.0,133.1,1,19,6,0,1,1,4,0,0.0,1
120.0,120.0,2,37,37,0,5,1,8,8,12.375,1
150.0,150.0,42,1,38,0,1,1,12,12,14.384615384615383,1
