Admission grade,Previous qualification (grade),Previous qualification,Mother's qualification,Father's qualification,Displaced,Marital status,Nacionality,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Target
127.4,127.0,1,19,19,1,1,1,6,6,11.166666666666666,1,Graduate
129.5,140.0,1,19,19,1,1,1,8,7,12.324285714285711,1,Graduate
126.7,130.0,39,38,38,0,1,1,6,6,12.166666666666666,1,Graduate
116.5,128.0,1,19,37,0,1,1,6,5,11.142857142857142,1,Graduate
119.1,132.0,1,34,34,1,1,1,6,4,11.0,1,Graduate
126.5,149.0,1,19,38,1,1,1,8,7,12.914285714285713,1,Graduate
149.8,155.0,1,3,19,1,1,1,6,6,13.833333333333334,1,Graduate
115.1,120.0,1,19,1,1,1,1,6,6,13.857142857142858,1,Graduate
124.5,133.1,19,3,19,0,1,1,6,6,13.714285714285714,1,Dropout
128.3,131.0,1,38,1,1,1,1,8,7,12.642857142857142,1,Graduate
136.0,149.0,1,37,37,0,1,1,7,6,12.916666666666666,1,Graduate
140.0,140.0,1,1,3,1,1,1,6,6,15.625,1,Graduate
126.3,133.1,1,37,37,0,1,1,5,0,0.0,1,Dropout
126.9,122.0,1,1,1,0,1,1,6,6,11.714285714285714,1,Graduate
115.8,121.0,1,19,3,1,1,1,5,5,11.6,1,Graduate
100.0,120.0,1,19,37,1,1,1,6,1,10.0,1,Dropout
102.5,133.1,1,1,19,0,1,1,6,1,10.0,1,Dropout
131.5,121.0,1,19,37,0,1,1,5,0,0.0,1,Dropout
147.0,133.0,1,38,38,0,1,1,5,4,13.0,1,Graduate
122.5,134.0,1,37,37,0,2,1,6,6,13.333333333333334,1,Graduate
117.5,115.0,1,1,1,1,1,1,6,4,11.25,1,Dropout
150.0,127.0,1,19,1,0,1,1,7,5,13.85,1,Graduate
127.5,135.0,1,1,38,1,1,1,7,6,13.741666666666667,1,Graduate
140.0,140.0,43,40,5,0,2,1,6,6,15.333333333333334,1,Graduate
130.0,130.0,3,1,4,0,2,1,5,5,11.0,1,Graduate
133.3,135.0,1,1,1,0,1,1,6,6,12.0,1,Graduate
97.0,140.0,1,34,34,1,1,1,5,0,0.0,1,Dropout
112.0,120.0,1,1,1,1,1,1,8,7,11.571428571428571,1,Graduate
123.6,140.0,1,1,37,1,1,1,6,6,12.857142857142858,1,Graduate
130.5,133.1,3,19,19,0,1,1,6,0,0.0,1,Dropout
133.3,135.0,1,1,3,0,1,1,5,5,13.0,1,Graduate
132.1,123.0,1,1,37,0,1,1,6,5,11.0,1,Graduate
100.0,133.1,1,37,1,0,1,1,5,3,12.0,1,Dropout
140.4,154.0,1,38,37,0,1,1,6,5,12.6,1,Graduate
141.7,148.0,1,19,19,0,1,1,6,5,13.4,1,Graduate
119.7,133.0,1,37,37,0,1,1,6,6,11.333333333333334,1,Graduate
122.5,126.0,1,19,1,1,1,1,5,4,13.5,0,Dropout
140.0,133.1,19,19,19,0,1,1,6,3,11.75,0,Dropout
119.1,118.0,1,37,19,1,1,1,5,5,11.6,1,Graduate
122.7,120.0,1,37,1,0,1,1,5,0,0.0,0,Dropout
117.9,127.0,1,38,19,0,1,1,10,9,12.9,1,Graduate
130.0,130.0,3,19,38,0,1,1,8,8,13.22,1,Graduate
120.0,129.0,1,19,37,1,1,1,8,7,13.151428571428571,1,Graduate
130.0,130.0,39,37,37,0,1,1,6,3,12.75,0,Dropout
116.8,121.0,1,19,37,1,1,1,6,6,11.333333333333334,1,Graduate
123.4,136.0,1,19,1,1,1,1,6,6,13.25,1,Graduate
127.2,131.0,1,38,37,1,1,1,6,6,15.0,1,Dropout
103.4,122.0,1,9,19,0,1,1,5,5,14.4,1,Graduate
124.1,136.0,1,1,1,0,1,1,5,5,12.4,1,Graduate
99.5,133.1,19,38,37,1,2,1,7,1,16.0,0,Dropout
124.9,127.0,40,37,37,0,1,1,5,5,13.571428571428571,1,Graduate
118.9,121.0,1,1,1,1,1,1,6,5,11.666666666666666,1,Graduate
118.8,124.0,1,1,1,1,1,1,10,6,11.833333333333334,0,Dropout
137.0,131.0,1,37,38,0,1,1,6,6,11.166666666666666,1,Graduate
100.0,100.0,1,37,37,0,1,1,6,0,0.0,1,Dropout
120.0,130.0,1,37,38,0,1,1,12,8,11.75,0,Dropout
122.8,135.0,1,1,1,0,1,1,6,6,14.0,1,Graduate
121.6,130.0,1,38,19,0,1,1,6,6,12.833333333333334,1,Graduate
149.2,146.0,1,3,1,1,1,1,6,4,12.25,1,Graduate
140.0,146.0,1,4,1,1,1,1,8,7,14.828571428571427,1,Graduate
133.4,154.0,1,38,38,1,1,1,6,5,11.4,1,Graduate
126.2,137.0,1,37,37,1,1,1,6,6,13.0,1,Graduate
127.8,151.0,1,1,1,0,1,1,8,7,13.671428571428573,1,Graduate
150.0,150.0,39,37,38,0,1,1,6,6,12.666666666666666,1,Graduate
113.7,121.0,1,1,19,1,1,1,5,2,10.0,0,Dropout
117.8,122.0,1,12,19,1,1,1,5,5,13.5,1,Graduate
136.7,143.0,1,5,1,0,1,1,7,7,12.67,1,Graduate
144.7,152.0,1,1,38,0,1,1,6,6,14.5,1,Graduate
139.8,145.0,1,12,1,1,1,1,7,7,13.685714285714283,1,Graduate
113.7,120.0,1,37,38,0,1,1,6,5,11.0,1,Dropout
140.0,140.0,3,5,4,0,2,1,9,7,11.555555555555555,0,Dropout
119.6,129.0,1,19,19,1,1,1,7,7,14.00375,1,Graduate
123.7,139.0,1,38,37,1,1,1,5,4,12.0,1,Graduate
143.0,133.1,1,39,19,1,4,1,6,5,14.166666666666666,1,Graduate
100.1,127.0,1,37,37,0,2,1,5,5,14.0,1,Graduate
119.4,126.0,1,19,37,0,1,1,6,5,13.8,1,Graduate
122.1,128.0,1,38,38,0,1,1,6,5,12.8,1,Graduate
100.0,100.0,12,1,1,0,2,1,6,6,12.166666666666666,1,Graduate
101.0,170.0,15,34,1,0,1,1,6,4,12.0,1,Graduate
111.8,117.0,1,3,1,1,1,1,6,6,10.833333333333334,1,Graduate
140.0,140.0,1,3,3,1,1,1,8,8,13.385,1,Graduate
124.4,123.0,1,19,19,1,1,1,6,6,15.666666666666666,1,Graduate
150.0,150.0,39,19,37,0,1,1,6,6,14.333333333333334,1,Graduate
116.0,123.0,1,19,19,1,1,1,6,6,11.666666666666666,1,Graduate
135.6,130.0,1,38,37,1,1,1,6,5,12.0,1,Dropout
121.0,137.0,1,3,38,0,2,1,8,7,14.725714285714288,1,Graduate
118.7,126.0,1,19,38,1,1,1,6,6,14.166666666666666,1,Graduate
125.7,125.0,1,1,1,1,1,1,6,6,11.571428571428571,1,Graduate
107.1,112.0,1,1,1,1,1,1,7,7,12.5,1,Graduate
125.5,141.0,1,19,38,0,1,1,8,8,12.86,1,Graduate
127.0,135.0,1,38,38,1,1,1,6,6,12.25,1,Graduate
113.5,117.0,1,38,37,1,1,1,5,4,12.0,1,Graduate
154.4,160.0,1,19,19,0,1,1,7,7,15.116666666666667,1,Graduate
122.0,136.0,1,19,19,0,1,1,5,2,12.5,0,Dropout
128.0,143.0,1,1,11,1,1,1,6,0,0.0,1,Dropout
117.2,120.0,1,1,19,1,1,1,6,6,11.875,1,Graduate
150.0,150.0,3,3,1,1,1,1,5,1,11.0,1,Dropout
155.3,142.0,1,11,11,0,1,1,5,5,15.2,1,Graduate
120.0,120.0,39,37,37,1,1,1,6,5,11.6,0,Dropout
116.1,160.0,1,3,19,0,1,1,6,6,14.833333333333334,1,Graduate
118.9,133.1,1,34,34,1,1,1,6,3,11.333333333333334,1,Dropout
127.3,142.0,1,19,19,0,1,1,5,5,11.2,1,Graduate
113.7,121.0,1,38,38,1,1,1,6,5,13.4,1,Graduate
118.5,135.0,1,1,1,0,1,1,5,2,10.5,1,Dropout
146.7,153.0,1,1,38,0,1,1,5,5,16.2,1,Graduate
124.3,140.0,1,19,19,1,1,1,7,7,14.542857142857144,1,Graduate
137.8,152.0,1,41,19,0,1,1,7,7,13.694285714285714,1,Graduate
130.2,120.0,1,19,38,0,1,1,6,6,11.285714285714286,1,Graduate
150.0,150.0,40,19,19,0,1,1,3,0,0.0,0,Dropout
100.0,100.0,1,37,37,1,1,1,8,7,13.058571428571428,1,Graduate
155.6,150.0,1,1,1,0,1,1,7,7,14.3,1,Graduate
117.4,124.0,1,37,37,0,1,1,10,5,11.8,1,Graduate
117.5,121.0,1,19,19,1,1,1,6,6,10.571428571428571,1,Graduate
120.4,134.0,6,1,37,1,1,1,7,6,13.333333333333334,1,Graduate
130.9,134.0,1,1,1,0,1,1,6,6,11.857142857142858,1,Graduate
151.0,151.0,39,19,37,0,1,1,5,0,0.0,1,Dropout
103.5,107.0,1,38,38,1,1,1,6,6,12.0,1,Graduate
119.4,126.0,1,37,38,0,1,1,6,6,12.666666666666666,1,Graduate
134.4,133.0,1,34,37,1,1,1,6,6,12.166666666666666,1,Graduate
143.0,140.0,39,38,37,0,1,1,6,6,13.333333333333334,1,Graduate
110.0,110.0,40,41,3,0,1,1,7,7,15.0,1,Graduate
132.5,141.0,1,38,38,1,1,1,8,8,13.39125,1,Graduate
114.7,122.0,1,3,1,0,1,1,6,5,12.166666666666666,1,Graduate
166.9,156.0,1,2,9,0,1,1,5,4,11.25,1,Graduate
178.3,188.0,1,3,3,1,1,1,0,0,0.0,1,Dropout
117.0,120.0,1,37,37,1,2,1,6,6,12.833333333333334,1,Graduate
150.0,130.0,3,3,3,0,1,1,6,6,14.0,1,Graduate
135.1,140.0,1,19,19,1,1,1,6,6,13.5,1,Graduate
136.2,133.1,1,37,37,0,4,1,5,5,11.0,1,Graduate
116.0,120.0,1,37,37,0,2,1,6,6,13.0,1,Graduate
116.3,117.0,1,19,19,1,1,1,6,4,12.6,1,Dropout
134.0,123.0,1,19,19,0,1,1,6,6,13.666666666666666,1,Graduate
124.2,127.0,1,1,1,1,1,1,0,0,0.0,0,Dropout
134.5,151.0,1,37,38,0,2,1,7,6,14.2,1,Graduate
120.7,127.0,1,19,19,0,1,1,6,5,11.0,0,Dropout
127.1,133.0,1,19,1,1,1,1,6,6,15.0,1,Graduate
133.0,133.1,19,38,37,0,1,1,7,6,12.585714285714284,1,Graduate
128.2,133.1,1,37,37,0,1,1,5,0,0.0,1,Dropout
172.0,160.0,43,3,39,0,1,1,6,0,0.0,1,Dropout
128.5,140.0,1,19,38,1,1,1,6,6,11.666666666666666,1,Graduate
128.5,146.0,1,37,38,0,1,1,6,3,12.666666666666666,1,Dropout
142.5,140.0,42,19,37,1,1,1,11,8,13.5,1,Graduate
106.0,133.1,1,37,38,1,1,1,6,6,16.153846153846153,1,Graduate
125.5,136.0,1,19,38,1,1,1,7,6,14.033333333333331,1,Graduate
112.9,122.0,1,38,37,1,1,1,7,7,13.857142857142858,1,Graduate
124.8,138.0,1,19,19,1,1,1,8,7,13.414285714285716,1,Dropout
140.9,160.0,1,37,39,0,2,1,11,11,13.545454545454543,1,Graduate
148.4,161.0,1,1,19,0,1,1,6,6,13.833333333333334,1,Graduate
129.7,140.0,1,1,37,0,4,1,5,5,12.0,1,Graduate
128.2,133.1,19,38,38,0,2,1,6,0,0.0,1,Dropout
119.9,130.0,1,37,37,1,1,1,5,0,0.0,0,Dropout
141.0,152.0,1,1,1,1,1,1,7,7,15.135714285714286,1,Graduate
140.0,133.1,19,38,19,0,4,1,7,5,12.74,1,Dropout
117.0,125.0,1,19,19,0,1,1,6,6,13.428571428571429,1,Graduate
140.2,140.0,42,3,4,0,1,1,11,9,12.555555555555555,1,Graduate
129.3,124.0,1,34,34,0,1,1,6,6,11.5,1,Graduate
145.3,140.0,1,37,37,0,1,1,6,6,13.666666666666666,1,Graduate
146.2,130.0,3,37,37,0,1,1,14,11,11.272727272727272,1,Graduate
156.1,160.0,39,37,37,0,1,1,6,6,14.666666666666666,1,Graduate
128.4,141.0,1,30,37,1,1,1,6,5,13.0,0,Dropout
115.0,120.0,1,1,1,0,1,1,5,2,10.5,0,Dropout
158.7,166.0,1,1,19,0,1,1,6,6,14.857142857142858,1,Graduate
124.5,147.0,1,1,1,1,1,1,8,7,12.86,1,Graduate
111.9,121.0,1,3,19,1,1,1,11,11,11.727272727272728,1,Graduate
150.0,150.0,39,38,37,1,1,1,6,6,13.142857142857142,1,Graduate
114.2,124.0,1,37,19,1,1,1,6,5,11.8,1,Dropout
96.0,96.0,1,38,37,1,1,1,5,3,10.666666666666666,1,Dropout
131.3,142.0,1,37,37,1,1,1,8,7,14.731428571428571,1,Graduate
137.1,135.0,1,1,19,1,1,1,0,0,0.0,1,Graduate
120.0,120.0,40,1,19,1,1,1,13,13,13.615384615384617,1,Graduate
139.0,140.0,40,1,19,0,1,1,5,5,15.8,1,Graduate
129.1,135.0,1,1,19,0,1,1,6,6,14.666666666666666,1,Graduate
128.2,133.1,1,34,34,0,4,1,5,0,0.0,1,Dropout
120.8,137.0,1,19,19,1,1,1,8,7,14.654285714285717,1,Graduate
135.8,122.0,3,19,1,0,1,1,8,7,12.401428571428571,1,Graduate
118.9,128.0,1,1,1,1,1,1,7,7,11.5875,1,Graduate
140.0,140.0,40,37,37,0,1,1,5,5,14.0,1,Graduate
127.1,132.0,1,1,38,1,1,1,6,6,12.333333333333334,1,Graduate
137.0,131.0,1,37,37,0,1,1,5,5,14.0,1,Graduate
127.4,126.0,1,1,1,1,1,1,6,6,15.23076923076923,1,Graduate
97.0,133.1,1,19,19,1,1,1,6,5,11.6,1,Dropout
126.3,136.0,1,37,37,1,1,1,7,6,11.6,1,Graduate
127.5,140.0,1,1,19,0,1,1,7,0,0.0,1,Dropout
126.6,135.0,1,2,1,0,1,1,7,7,12.901428571428571,1,Graduate
120.0,160.0,1,1,2,0,1,1,7,7,14.142857142857142,1,Graduate
140.0,140.0,39,1,2,1,1,1,6,0,0.0,1,Dropout
131.5,140.0,1,3,1,1,1,1,8,8,13.25375,1,Graduate
112.2,115.0,1,19,2,1,1,1,7,7,13.785714285714286,1,Graduate
150.5,144.0,1,37,37,0,1,1,7,6,13.916666666666666,1,Graduate
121.0,128.0,1,38,38,1,1,1,6,6,13.5,1,Graduate
129.4,135.0,1,19,1,1,3,1,5,0,0.0,1,Dropout
114.4,121.0,1,19,38,0,1,1,6,5,11.5,1,Graduate
120.3,134.0,1,37,38,1,1,1,8,7,12.082857142857142,1,Graduate
120.0,120.0,1,37,37,0,1,1,6,6,11.833333333333334,1,Graduate
114.5,125.0,1,38,38,1,1,1,5,5,13.4,1,Graduate
127.8,141.0,1,1,1,0,1,1,7,0,0.0,1,Dropout
124.6,140.0,1,1,19,1,1,1,6,5,14.2,1,Graduate
130.3,144.0,1,19,19,1,1,1,8,7,13.814285714285717,1,Graduate
118.8,130.0,1,19,37,0,1,1,6,6,14.5,1,Graduate
133.0,133.1,1,9,1,1,1,1,6,0,0.0,1,Dropout
129.0,133.1,19,37,37,1,2,1,7,6,11.3,1,Graduate
132.5,136.0,1,19,38,1,1,1,8,7,12.3,1,Graduate
120.3,127.0,1,19,19,1,1,1,8,7,12.694285714285714,1,Graduate
114.6,123.0,1,19,19,0,1,1,5,4,11.0,1,Graduate
116.5,128.0,1,37,19,1,1,1,6,6,13.0,1,Graduate
127.8,128.0,1,3,1,0,1,1,7,7,14.4125,1,Graduate
129.9,140.0,1,1,19,1,1,1,7,7,12.92875,1,Dropout
118.9,121.0,1,1,19,1,1,1,6,6,13.333333333333334,1,Graduate
114.8,126.0,1,38,37,1,1,1,8,7,14.402857142857142,1,Graduate
123.0,135.0,1,37,37,1,1,1,8,7,13.381428571428572,1,Graduate
122.1,131.0,1,19,19,1,1,1,7,7,14.13125,1,Graduate
123.7,140.0,1,19,37,0,1,1,5,5,11.714285714285714,1,Graduate
114.8,130.0,1,34,34,0,2,1,6,6,11.166666666666666,1,Graduate
130.0,130.0,3,38,37,0,1,1,6,0,0.0,1,Dropout
